,Method,Diff_Kd,Diff_Str,Diff_Td,Diff_Sub,Diff_Head,Diff_Body,Diff_Leg,Diff_Distance,Diff_Clinch,Diff_Ground,Diff_Ctrl,Fighter_1_W
300,U-DEC,1,-32,1,0,60,-7,-21,38,-2,-4,-134,1
301,U-DEC,0,-27,1,0,1,19,7,9,13,5,-49,1
302,S-DEC,0,-23,-1,0,-2,30,-5,21,1,1,102,1
303,U-DEC,0,38,-3,0,-14,-16,-8,-26,-20,8,498,1
304,U-DEC,0,-57,0,0,30,0,27,58,-1,0,0,1
305,U-DEC,0,-39,-1,0,-27,0,-12,-18,-5,-16,-302,0
306,U-DEC,-1,-7,0,0,-21,13,1,-10,14,-11,-264,0
307,U-DEC,0,-8,-8,0,5,0,3,2,2,4,815,1
308,U-DEC,0,-46,1,1,41,-14,19,44,-1,3,33,1
309,U-DEC,0,0,-12,0,2,-3,1,3,-2,-1,677,1
310,U-DEC,0,5,0,0,1,6,-12,-6,0,1,171,1
311,U-DEC,0,13,-2,1,5,-4,12,10,4,-1,-371,0
312,U-DEC,0,-34,3,-1,-28,-5,-1,-10,-16,-8,180,0
313,M-DEC,0,71,-2,-3,-56,-30,15,-40,-28,-3,257,1
314,U-DEC,0,-17,-2,0,16,6,-5,1,13,3,-47,1
315,U-DEC,0,3,-2,0,12,0,-9,15,-1,-11,-257,0
316,U-DEC,0,-53,0,0,-4,2,-51,-60,7,0,0,0
317,U-DEC,0,19,-4,0,2,3,-24,-5,1,-15,530,1
318,U-DEC,0,-14,0,0,-17,-1,4,-15,-1,2,230,0
319,U-DEC,0,-27,0,0,4,4,19,26,1,0,0,1
320,S-DEC,1,-30,0,0,-12,1,-19,-25,-7,2,20,0
321,S-DEC,0,-22,2,0,9,13,0,26,-2,-2,-78,1
322,U-DEC,0,-17,-9,0,-20,3,0,10,-6,-21,-735,0
323,U-DEC,0,-26,0,0,24,-6,8,36,-10,0,-254,1
324,U-DEC,0,-72,0,0,88,-23,7,66,6,0,101,1
325,U-DEC,-1,-26,0,0,56,-7,-23,21,2,3,-91,1
326,U-DEC,0,-31,0,0,-24,4,-11,-28,-2,-1,43,0
327,U-DEC,0,-11,-4,0,-5,-2,-4,-9,0,-2,-594,0
328,U-DEC,0,-28,1,0,-22,-7,1,-6,-19,-3,377,0
329,U-DEC,1,14,-5,0,-25,30,9,15,-1,0,-199,0
330,U-DEC,0,-72,-3,0,-59,-9,-4,-15,0,-57,-649,0
331,U-DEC,0,-23,0,0,16,23,-16,21,-1,3,-90,1
332,U-DEC,-1,-5,-2,4,11,-8,2,-4,-1,10,278,1
333,U-DEC,0,-5,-1,0,-5,2,-2,-4,0,-1,-262,0
334,S-DEC,0,-4,-1,0,-15,17,2,-18,22,0,243,1
335,S-DEC,0,23,0,0,41,-11,-7,24,-1,0,-4,0
336,S-DEC,0,-1,1,0,34,-14,-19,12,-10,-1,7,1
337,U-DEC,0,-65,-2,0,-43,0,-22,-58,3,-10,150,0
338,S-DEC,0,9,0,0,-9,1,-1,-4,-5,0,46,1
339,S-DEC,0,-22,0,2,28,1,-7,20,3,-1,-274,1
340,S-DEC,-2,-5,1,0,-11,-1,7,-1,-2,-2,92,0
341,U-DEC,0,-12,5,0,7,-1,6,-1,-1,14,-225,1
342,U-DEC,0,9,0,0,14,-17,-6,-4,-4,-1,-3,1
343,U-DEC,0,-101,1,0,1,-45,-57,-108,7,0,10,0
344,U-DEC,0,-26,-9,0,-25,2,-3,-13,-1,-12,-397,0
345,M-DEC,1,2,-1,-3,12,-11,-3,1,0,-3,-64,1
346,U-DEC,0,-5,-1,-1,-1,3,3,3,-5,7,461,1
347,S-DEC,0,-19,2,0,33,-11,-3,21,-4,2,-318,1
348,U-DEC,0,-27,-5,0,20,5,2,1,11,15,741,1
349,S-DEC,0,11,-1,-1,-23,5,29,27,-12,-4,519,0
350,S-DEC,0,-5,1,0,26,-29,-2,-5,-1,1,17,0
351,U-DEC,0,3,-5,0,7,8,-12,8,3,-8,-562,0
352,S-DEC,0,-40,3,0,-29,1,-12,-29,-11,0,254,0
353,U-DEC,0,-37,-2,0,8,3,26,38,0,-1,27,1
354,S-DEC,0,-8,3,0,14,12,-18,7,4,-3,-283,1
355,U-DEC,0,-11,-2,1,-2,-5,-4,-7,0,-4,-337,0
356,U-DEC,1,8,-2,-2,-9,0,1,-4,-7,3,592,1
357,U-DEC,0,7,-2,0,-1,-6,0,-6,-1,0,296,1
358,U-DEC,-1,-48,1,-2,39,2,7,6,2,40,209,1
359,S-DEC,0,7,-1,0,15,2,-10,9,-2,0,-12,0
360,S-DEC,0,-8,0,0,0,-25,17,-8,0,0,-15,0
361,S-DEC,1,-18,0,0,42,-1,-23,6,15,-3,-238,1
362,U-DEC,0,-44,0,-1,47,4,-7,24,13,7,222,1
363,S-DEC,0,6,-6,0,-13,0,7,-1,-5,0,428,1
364,U-DEC,0,6,1,0,7,-9,-4,-4,-2,0,108,1
365,U-DEC,0,-6,1,0,0,3,3,-13,2,17,277,1
366,S-DEC,0,10,2,1,-3,14,-1,25,-1,-14,-66,0
367,U-DEC,0,-37,-8,-2,-29,-9,1,-7,-5,-25,-806,0
368,U-DEC,0,-20,-2,0,-1,15,6,15,1,4,40,1
369,U-DEC,-3,112,1,0,104,26,-18,123,11,-22,-107,0
370,S-DEC,0,2,2,0,-11,8,1,1,-4,1,-217,1
371,U-DEC,0,-9,-5,-1,18,0,-9,-4,8,5,414,1
372,U-DEC,0,-28,-3,0,34,0,-6,24,-2,6,211,1
373,U-DEC,0,12,-6,0,4,-20,4,-9,-9,6,103,1
374,U-DEC,0,-36,0,0,24,9,3,1,30,5,65,1
375,U-DEC,0,-48,-4,-5,48,-2,2,7,6,35,361,1
376,U-DEC,0,10,-4,0,-23,24,9,-5,17,-2,-215,0
