,Fighter,Head,Body,Leg,Distance,Clinch,Ground,Event
2421,Cody Garbrandt Pedro Munhoz,19 of 50  16 of 36,1 of 6  3 of 3,1 of 4  6 of 8,20 of 59  18 of 38,0 of 0  1 of 2,1 of 1  6 of 7,UFC 235: Jones vs. Smith
2422,Jeremy Stephens Zabit Magomedsharipov,20 of 92  43 of 95,11 of 16  12 of 17,10 of 13  15 of 17,41 of 121  60 of 117,0 of 0  1 of 1,0 of 0  9 of 11,UFC 235: Jones vs. Smith
2423,Misha Cirkunov Johnny Walker,0 of 1  4 of 8,0 of 0  0 of 0,1 of 1  0 of 0,1 of 2  1 of 2,0 of 0  0 of 0,0 of 0  3 of 6,UFC 235: Jones vs. Smith
2424,Cody Stamann Alejandro Perez,21 of 77  17 of 87,19 of 30  8 of 13,8 of 14  16 of 21,46 of 117  33 of 108,2 of 4  3 of 8,0 of 0  5 of 5,UFC 235: Jones vs. Smith
2425,Diego Sanchez Mickey Gall,37 of 63  19 of 59,13 of 18  2 of 3,6 of 6  2 of 3,7 of 28  8 of 44,10 of 11  9 of 14,39 of 48  6 of 7,UFC 235: Jones vs. Smith
2426,Edmen Shahbazyan Charles Byrd,13 of 20  0 of 5,0 of 0  0 of 0,0 of 1  1 of 1,4 of 10  1 of 6,7 of 7  0 of 0,2 of 4  0 of 0,UFC 235: Jones vs. Smith
2427,Gina Mazany Macy Chiasson,6 of 16  15 of 37,6 of 7  9 of 11,2 of 2  1 of 1,13 of 24  18 of 41,1 of 1  3 of 3,0 of 0  4 of 5,UFC 235: Jones vs. Smith
2428,Polyana Viana Hannah Cifers,29 of 114  21 of 83,28 of 39  31 of 48,20 of 21  15 of 24,65 of 162  54 of 138,8 of 8  8 of 8,4 of 4  5 of 9,UFC 235: Jones vs. Smith
2429,Jan Blachowicz Thiago Santos,7 of 31  21 of 58,6 of 12  5 of 10,7 of 10  26 of 36,19 of 51  38 of 82,1 of 2  1 of 1,0 of 0  13 of 21,UFC Fight Night: Blachowicz vs. Santos
2430,Stefan Struve Marcos Rogerio de Lima,0 of 2  18 of 25,0 of 1  7 of 7,0 of 0  0 of 0,0 of 3  1 of 6,0 of 0  0 of 0,0 of 0  24 of 26,UFC Fight Night: Blachowicz vs. Santos
2431,Gian Villante Michal Oleksiejczuk,6 of 12  10 of 18,0 of 4  4 of 4,3 of 4  0 of 0,9 of 20  13 of 19,0 of 0  0 of 0,0 of 0  1 of 3,UFC Fight Night: Blachowicz vs. Santos
2432,Liz Carmouche Lucie Pudilova,3 of 12  13 of 77,4 of 8  3 of 6,7 of 9  17 of 22,9 of 24  15 of 81,2 of 2  2 of 4,3 of 3  16 of 20,UFC Fight Night: Blachowicz vs. Santos
2433,John Dodson Petr Yan,18 of 65  61 of 131,8 of 11  16 of 20,4 of 5  3 of 4,25 of 73  61 of 134,4 of 7  15 of 17,1 of 1  4 of 4,UFC Fight Night: Blachowicz vs. Santos
2434,Magomed Ankalaev Klidson Abreu,22 of 55  10 of 41,6 of 9  8 of 15,2 of 3  5 of 6,18 of 51  16 of 53,6 of 9  7 of 9,6 of 7  0 of 0,UFC Fight Night: Blachowicz vs. Santos
2435,Dwight Grant Carlo Pedersoli Jr.,14 of 47  7 of 32,2 of 2  9 of 11,4 of 4  1 of 2,12 of 44  14 of 41,2 of 3  3 of 4,6 of 6  0 of 0,UFC Fight Night: Blachowicz vs. Santos
2436,Daniel Teymur Chris Fishgold,14 of 29  13 of 31,3 of 3  1 of 1,0 of 1  0 of 0,7 of 20  8 of 21,1 of 2  4 of 5,9 of 11  2 of 6,UFC Fight Night: Blachowicz vs. Santos
2437,Veronica Hardy Gillian Robertson,21 of 38  5 of 7,2 of 3  0 of 1,0 of 0  0 of 0,8 of 25  4 of 7,2 of 2  0 of 0,13 of 14  1 of 1,UFC Fight Night: Blachowicz vs. Santos
2438,Damir Hadzovic Marco Polo Reyes,48 of 98  13 of 88,6 of 7  4 of 12,4 of 4  7 of 7,30 of 69  24 of 105,2 of 2  0 of 2,26 of 38  0 of 0,UFC Fight Night: Blachowicz vs. Santos
2439,Michel Prazeres Ismail Naurdiev,11 of 29  36 of 70,2 of 4  14 of 16,2 of 2  13 of 17,11 of 30  36 of 70,1 of 1  6 of 7,3 of 4  21 of 26,UFC Fight Night: Blachowicz vs. Santos
2440,Rustam Khabilov Diego Ferreira,32 of 126  55 of 237,10 of 20  18 of 36,1 of 1  10 of 11,36 of 134  69 of 264,6 of 10  10 of 15,1 of 3  4 of 5,UFC Fight Night: Blachowicz vs. Santos
2441,Damir Ismagulov Joel Alvarez,25 of 85  26 of 107,30 of 51  5 of 11,9 of 14  7 of 9,64 of 150  37 of 126,0 of 0  1 of 1,0 of 0  0 of 0,UFC Fight Night: Blachowicz vs. Santos
2442,Francis Ngannou Cain Velasquez,6 of 10  0 of 1,0 of 0  1 of 1,0 of 0  0 of 1,3 of 6  1 of 3,1 of 1  0 of 0,2 of 3  0 of 0,UFC Fight Night: Ngannou vs. Velasquez
2443,James Vick Paul Felder,24 of 75  31 of 79,16 of 21  4 of 8,21 of 25  20 of 32,57 of 112  48 of 109,4 of 9  7 of 10,0 of 0  0 of 0,UFC Fight Night: Ngannou vs. Velasquez
2444,Cortney Casey Cynthia Calvillo,41 of 136  41 of 139,6 of 8  17 of 24,26 of 32  24 of 29,72 of 175  79 of 186,1 of 1  3 of 6,0 of 0  0 of 0,UFC Fight Night: Ngannou vs. Velasquez
2445,Alex Caceres Kron Gracie,3 of 13  1 of 6,0 of 0  0 of 0,1 of 1  1 of 4,4 of 14  2 of 10,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Ngannou vs. Velasquez
2446,Vicente Luque Bryan Barberena,132 of 209  146 of 324,17 of 17  16 of 23,14 of 15  7 of 8,140 of 216  147 of 319,16 of 17  14 of 21,7 of 8  8 of 15,UFC Fight Night: Ngannou vs. Velasquez
2447,Andre Fili Myles Jury,65 of 179  47 of 110,9 of 16  10 of 11,24 of 31  19 of 22,98 of 226  72 of 134,0 of 0  0 of 0,0 of 0  4 of 9,UFC Fight Night: Ngannou vs. Velasquez
2448,Jimmie Rivera Aljamain Sterling,8 of 59  36 of 96,7 of 16  39 of 51,9 of 9  26 of 29,17 of 77  77 of 146,7 of 7  23 of 29,0 of 0  1 of 1,UFC Fight Night: Ngannou vs. Velasquez
2449,Benito Lopez Manny Bermudez,3 of 8  3 of 6,0 of 0  4 of 4,4 of 4  0 of 0,2 of 6  2 of 4,5 of 6  1 of 1,0 of 0  4 of 5,UFC Fight Night: Ngannou vs. Velasquez
2450,Ashlee Evans-Smith Andrea Lee,38 of 178  47 of 132,20 of 36  34 of 46,8 of 11  30 of 31,56 of 214  98 of 190,8 of 9  11 of 17,2 of 2  2 of 2,UFC Fight Night: Ngannou vs. Velasquez
2451,Scott Holtzman Nik Lentz,39 of 99  39 of 88,13 of 21  16 of 18,2 of 2  16 of 16,40 of 107  55 of 105,7 of 8  16 of 17,7 of 7  0 of 0,UFC Fight Night: Ngannou vs. Velasquez
2452,Renan Barao Luke Sanders,10 of 33  26 of 58,27 of 41  6 of 8,3 of 4  7 of 9,34 of 72  34 of 70,6 of 6  2 of 2,0 of 0  3 of 3,UFC Fight Night: Ngannou vs. Velasquez
2453,Aleksandra Albu Emily Whitmire,2 of 5  2 of 4,0 of 0  0 of 0,0 of 0  1 of 1,2 of 5  3 of 5,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Ngannou vs. Velasquez
2454,Israel Adesanya Anderson Silva,27 of 79  16 of 49,9 of 22  8 of 12,29 of 31  7 of 11,63 of 129  26 of 67,2 of 3  5 of 5,0 of 0  0 of 0,UFC 234: Adesanya vs. Silva
2455,Lando Vannata Marcos Mariano,18 of 37  2 of 7,0 of 1  0 of 0,2 of 2  1 of 2,2 of 4  1 of 7,0 of 0  0 of 0,18 of 36  2 of 2,UFC 234: Adesanya vs. Silva
2456,Rani Yahya Ricky Simon,29 of 159  40 of 116,10 of 14  9 of 16,8 of 13  5 of 5,47 of 186  38 of 114,0 of 0  0 of 0,0 of 0  16 of 23,UFC 234: Adesanya vs. Silva
2457,Montana De La Rosa Nadia Kassem,20 of 34  1 of 3,1 of 1  1 of 1,0 of 0  3 of 3,7 of 19  3 of 4,0 of 0  1 of 1,14 of 16  1 of 2,UFC 234: Adesanya vs. Silva
2458,Jimmy Crute Sam Alvey,7 of 23  3 of 14,2 of 3  0 of 0,5 of 6  0 of 0,9 of 23  3 of 14,0 of 0  0 of 0,5 of 9  0 of 0,UFC 234: Adesanya vs. Silva
2459,Devonte Smith Dong Hyun Ma,14 of 34  0 of 4,1 of 4  0 of 1,4 of 5  1 of 4,15 of 38  1 of 9,0 of 0  0 of 0,4 of 5  0 of 0,UFC 234: Adesanya vs. Silva
2460,Shane Young Austin Arnett,69 of 237  72 of 201,32 of 46  3 of 6,19 of 25  2 of 2,119 of 307  76 of 208,1 of 1  1 of 1,0 of 0  0 of 0,UFC 234: Adesanya vs. Silva
2461,Kai Kara-France Raulian Paiva,33 of 134  36 of 140,17 of 24  21 of 33,8 of 10  10 of 11,55 of 164  61 of 170,1 of 2  1 of 4,2 of 2  5 of 10,UFC 234: Adesanya vs. Silva
2462,Teruto Ishihara Kyung Ho Kang,12 of 36  19 of 46,1 of 5  7 of 12,4 of 6  0 of 0,11 of 35  15 of 40,6 of 10  11 of 18,0 of 2  0 of 0,UFC 234: Adesanya vs. Silva
2463,Callan Potter Jalin Turner,1 of 2  6 of 14,0 of 0  3 of 3,2 of 2  0 of 0,3 of 4  5 of 12,0 of 0  1 of 1,0 of 0  3 of 4,UFC 234: Adesanya vs. Silva
2464,Wulijiburen Jonathan Martinez,8 of 19  27 of 55,5 of 8  5 of 9,4 of 4  15 of 23,12 of 24  18 of 46,0 of 0  4 of 5,5 of 7  25 of 36,UFC 234: Adesanya vs. Silva
2465,Raphael Assuncao Marlon Moraes,1 of 10  8 of 17,0 of 0  0 of 2,1 of 2  2 of 4,2 of 12  7 of 18,0 of 0  0 of 0,0 of 0  3 of 5,UFC Fight Night: Assuncao vs. Moraes 2
2466,Jose Aldo Renato Moicano,18 of 36  17 of 40,6 of 9  1 of 4,2 of 5  6 of 9,19 of 43  24 of 53,7 of 7  0 of 0,0 of 0  0 of 0,UFC Fight Night: Assuncao vs. Moraes 2
2467,Demian Maia Lyman Good,0 of 1  0 of 2,0 of 0  0 of 0,0 of 0  0 of 0,0 of 1  0 of 2,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Assuncao vs. Moraes 2
2468,Charles Oliveira David Teymur,21 of 42  16 of 40,4 of 12  6 of 8,3 of 4  4 of 5,21 of 45  23 of 47,7 of 13  0 of 0,0 of 0  3 of 6,UFC Fight Night: Assuncao vs. Moraes 2
2469,Johnny Walker Justin Ledet,6 of 7  0 of 4,0 of 0  0 of 0,1 of 1  0 of 0,4 of 4  0 of 4,0 of 0  0 of 0,3 of 4  0 of 0,UFC Fight Night: Assuncao vs. Moraes 2
2470,Livinha Souza Sarah Frota,14 of 49  23 of 72,6 of 10  7 of 12,3 of 6  2 of 6,15 of 46  23 of 80,3 of 3  4 of 4,5 of 16  5 of 6,UFC Fight Night: Assuncao vs. Moraes 2
2471,Markus Perez Anthony Hernandez,9 of 24  15 of 32,5 of 6  0 of 1,2 of 2  2 of 2,12 of 23  6 of 19,4 of 9  11 of 16,0 of 0  0 of 0,UFC Fight Night: Assuncao vs. Moraes 2
2472,Mara Romero Borella Taila Santos,14 of 64  17 of 69,7 of 9  10 of 20,8 of 10  9 of 11,15 of 62  27 of 89,5 of 9  9 of 11,9 of 12  0 of 0,UFC Fight Night: Assuncao vs. Moraes 2
2473,Thiago Alves Max Griffin,45 of 90  77 of 115,16 of 21  35 of 39,22 of 24  0 of 0,68 of 120  76 of 108,15 of 15  36 of 44,0 of 0  0 of 2,UFC Fight Night: Assuncao vs. Moraes 2
2474,Junior Albini Jairzinho Rozenstruik,7 of 16  15 of 23,3 of 3  0 of 0,8 of 8  4 of 4,15 of 22  9 of 17,1 of 2  5 of 5,2 of 3  5 of 5,UFC Fight Night: Assuncao vs. Moraes 2
2475,Geraldo de Freitas Felipe Colares,31 of 54  11 of 36,14 of 18  6 of 8,4 of 4  4 of 7,33 of 56  12 of 39,13 of 16  8 of 9,3 of 4  1 of 3,UFC Fight Night: Assuncao vs. Moraes 2
2476,Ricardo Ramos Said Nurmagomedov,1 of 5  6 of 13,1 of 2  6 of 6,0 of 1  5 of 5,2 of 8  12 of 19,0 of 0  5 of 5,0 of 0  0 of 0,UFC Fight Night: Assuncao vs. Moraes 2
2477,Bibulatov Magomed Rogerio Bontorin,21 of 57  27 of 62,35 of 39  11 of 12,2 of 2  2 of 3,41 of 78  33 of 70,14 of 16  6 of 6,3 of 4  1 of 1,UFC Fight Night: Assuncao vs. Moraes 2
2478,Henry Cejudo TJ Dillashaw,17 of 22  0 of 1,1 of 1  0 of 0,0 of 0  1 of 2,3 of 6  1 of 3,0 of 0  0 of 0,15 of 17  0 of 0,UFC Fight Night: Cejudo vs. Dillashaw
2479,Greg Hardy Allen Crowder,21 of 56  12 of 30,5 of 5  0 of 0,3 of 3  0 of 0,17 of 51  8 of 25,6 of 7  1 of 2,6 of 6  3 of 3,UFC Fight Night: Cejudo vs. Dillashaw
2480,Gregor Gillespie Yancy Medeiros,38 of 58  1 of 11,10 of 10  0 of 1,3 of 3  0 of 0,1 of 11  1 of 11,6 of 9  0 of 0,44 of 51  0 of 1,UFC Fight Night: Cejudo vs. Dillashaw
2481,Joseph Benavidez Dustin Ortiz,7 of 30  21 of 54,6 of 8  28 of 32,8 of 12  0 of 1,20 of 44  20 of 55,0 of 2  22 of 23,1 of 4  7 of 9,UFC Fight Night: Cejudo vs. Dillashaw
2482,Paige VanZant Rachael Ostovich,13 of 23  7 of 11,1 of 1  2 of 2,3 of 3  1 of 1,5 of 13  8 of 11,0 of 0  0 of 0,12 of 14  2 of 3,UFC Fight Night: Cejudo vs. Dillashaw
2483,Glover Teixeira Karl Roberson,6 of 11  22 of 28,0 of 0  2 of 2,0 of 0  0 of 0,0 of 3  1 of 3,0 of 0  6 of 6,6 of 8  17 of 21,UFC Fight Night: Cejudo vs. Dillashaw
2484,Alexander Hernandez Donald Cerrone,20 of 59  58 of 136,25 of 42  18 of 22,4 of 4  4 of 4,32 of 82  52 of 124,17 of 23  14 of 22,0 of 0  14 of 16,UFC Fight Night: Cejudo vs. Dillashaw
2485,Joanne Wood Ariane Lipski,47 of 117  29 of 115,18 of 32  19 of 26,20 of 23  5 of 13,57 of 136  42 of 140,14 of 19  10 of 13,14 of 17  1 of 1,UFC Fight Night: Cejudo vs. Dillashaw
2486,Alonzo Menifield Vinicius Moreira,32 of 59  0 of 6,0 of 0  6 of 9,1 of 1  5 of 6,24 of 46  8 of 16,0 of 0  3 of 5,9 of 14  0 of 0,UFC Fight Night: Cejudo vs. Dillashaw
2487,Cory Sandhagen Mario Bautista,9 of 43  4 of 22,2 of 3  3 of 4,6 of 8  2 of 4,13 of 47  9 of 29,0 of 0  0 of 1,4 of 7  0 of 0,UFC Fight Night: Cejudo vs. Dillashaw
2488,Dennis Bermudez Te Edwards,42 of 96  16 of 46,12 of 13  3 of 5,9 of 13  4 of 5,27 of 64  15 of 41,3 of 10  4 of 4,33 of 48  4 of 11,UFC Fight Night: Cejudo vs. Dillashaw
2489,Belal Muhammad Geoff Neal,39 of 163  61 of 178,18 of 34  8 of 10,6 of 7  2 of 2,59 of 193  55 of 162,4 of 11  11 of 18,0 of 0  5 of 10,UFC Fight Night: Cejudo vs. Dillashaw
2490,Kyle Stewart Chance Rencountre,0 of 9  5 of 8,2 of 2  0 of 0,0 of 0  1 of 1,2 of 11  4 of 7,0 of 0  0 of 0,0 of 0  2 of 2,UFC Fight Night: Cejudo vs. Dillashaw
2491,Jon Jones Alexander Gustafsson,26 of 52  12 of 62,15 of 22  4 of 11,18 of 28  6 of 10,40 of 81  19 of 80,7 of 8  3 of 3,12 of 13  0 of 0,UFC 232: Jones vs. Gustafsson 2
2492,Cristiane Justino Amanda Nunes,1 of 12  12 of 20,2 of 3  0 of 0,0 of 0  1 of 1,3 of 14  12 of 19,0 of 1  1 of 2,0 of 0  0 of 0,UFC 232: Jones vs. Gustafsson 2
2493,Carlos Condit Michael Chiesa,2 of 18  8 of 20,2 of 5  2 of 2,1 of 1  0 of 0,2 of 18  2 of 8,2 of 4  2 of 2,1 of 2  6 of 12,UFC 232: Jones vs. Gustafsson 2
2494,Ilir Latifi Corey Anderson,23 of 66  24 of 93,3 of 5  11 of 22,7 of 7  5 of 6,23 of 62  38 of 114,10 of 16  2 of 7,0 of 0  0 of 0,UFC 232: Jones vs. Gustafsson 2
2495,Chad Mendes Alexander Volkanovski,16 of 37  36 of 91,6 of 7  10 of 19,6 of 7  8 of 14,24 of 46  46 of 113,4 of 5  5 of 8,0 of 0  3 of 3,UFC 232: Jones vs. Gustafsson 2
2496,Andrei Arlovski Walt Harris,20 of 60  13 of 72,11 of 17  11 of 20,13 of 16  0 of 1,43 of 90  21 of 85,1 of 3  3 of 8,0 of 0  0 of 0,UFC 232: Jones vs. Gustafsson 2
2497,Andrei Arlovski Walt Harris,20 of 60  13 of 72,11 of 17  11 of 20,13 of 16  0 of 1,43 of 90  21 of 85,1 of 3  3 of 8,0 of 0  0 of 0,UFC 232: Jones vs. Gustafsson 2
2498,Cat Zingano Megan Anderson,0 of 1  2 of 8,0 of 0  1 of 1,3 of 5  0 of 0,3 of 6  3 of 9,0 of 0  0 of 0,0 of 0  0 of 0,UFC 232: Jones vs. Gustafsson 2
2499,Douglas Silva de Andrade Petr Yan,13 of 44  49 of 86,10 of 20  23 of 27,5 of 13  4 of 5,26 of 75  42 of 78,2 of 2  8 of 8,0 of 0  26 of 32,UFC 232: Jones vs. Gustafsson 2
2500,BJ Penn Ryan Hall,1 of 5  0 of 7,1 of 1  1 of 2,1 of 2  5 of 6,2 of 5  6 of 14,0 of 0  0 of 1,1 of 3  0 of 0,UFC 232: Jones vs. Gustafsson 2
2501,Nathaniel Wood Andre Ewell,32 of 71  10 of 43,16 of 17  5 of 15,13 of 26  0 of 0,28 of 72  13 of 54,4 of 5  2 of 4,29 of 37  0 of 0,UFC 232: Jones vs. Gustafsson 2
2502,Uriah Hall Bevon Lewis,13 of 48  27 of 100,5 of 13  4 of 9,21 of 27  37 of 48,39 of 88  56 of 139,0 of 0  12 of 18,0 of 0  0 of 0,UFC 232: Jones vs. Gustafsson 2
2503,Curtis Millender Siyar Bahadurzada,59 of 112  30 of 98,8 of 20  4 of 14,22 of 33  6 of 9,84 of 160  29 of 104,5 of 5  2 of 5,0 of 0  9 of 12,UFC 232: Jones vs. Gustafsson 2
2504,Brian Kelleher Montel Jackson,0 of 3  6 of 11,0 of 1  2 of 3,6 of 6  2 of 2,6 of 10  7 of 12,0 of 0  1 of 1,0 of 0  2 of 3,UFC 232: Jones vs. Gustafsson 2
2505,Kevin Lee Al Iaquinta,80 of 267  82 of 189,14 of 21  19 of 28,8 of 8  10 of 11,81 of 273  110 of 226,1 of 1  0 of 0,20 of 22  1 of 2,UFC Fight Night: Lee vs. Iaquinta
2506,Edson Barboza Dan Hooker,71 of 160  59 of 161,36 of 43  12 of 29,19 of 23  10 of 14,117 of 215  78 of 198,9 of 11  3 of 6,0 of 0  0 of 0,UFC Fight Night: Lee vs. Iaquinta
2507,Rob Font Sergio Pettis,79 of 212  53 of 165,25 of 28  7 of 9,7 of 7  11 of 11,102 of 227  71 of 183,1 of 1  0 of 0,8 of 19  0 of 2,UFC Fight Night: Lee vs. Iaquinta
2508,Jim Miller Charles Oliveira,0 of 1  0 of 0,0 of 0  0 of 0,1 of 1  0 of 1,1 of 2  0 of 1,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Lee vs. Iaquinta
2509,Zak Ottow Dwight Grant,5 of 53  15 of 71,7 of 14  7 of 9,2 of 4  3 of 4,11 of 67  19 of 77,2 of 3  5 of 6,1 of 1  1 of 1,UFC Fight Night: Lee vs. Iaquinta
2510,Bobby Green Drakkar Klose,39 of 91  26 of 89,27 of 31  12 of 16,26 of 32  20 of 26,69 of 126  45 of 114,13 of 15  9 of 11,10 of 13  4 of 6,UFC Fight Night: Lee vs. Iaquinta
2511,Jared Gordon Joaquim Silva,94 of 166  54 of 138,10 of 15  30 of 42,12 of 13  11 of 11,88 of 163  78 of 172,13 of 15  15 of 17,15 of 16  2 of 2,UFC Fight Night: Lee vs. Iaquinta
2512,Gerald Meerschaert Jack Hermansson,0 of 1  37 of 54,1 of 1  3 of 4,0 of 0  1 of 1,0 of 1  1 of 1,1 of 1  2 of 3,0 of 0  38 of 55,UFC Fight Night: Lee vs. Iaquinta
2513,Trevor Smith Zak Cummings,42 of 85  30 of 108,11 of 14  9 of 11,1 of 4  17 of 20,41 of 81  48 of 128,5 of 9  4 of 7,8 of 13  4 of 4,UFC Fight Night: Lee vs. Iaquinta
2514,Dan Ige Jordan Griffin,46 of 95  49 of 100,7 of 8  7 of 7,3 of 4  0 of 0,20 of 53  31 of 65,4 of 4  4 of 4,32 of 50  21 of 38,UFC Fight Night: Lee vs. Iaquinta
2515,Adam Milstead Mike Rodriguez,5 of 16  25 of 30,2 of 2  8 of 10,3 of 3  2 of 2,9 of 20  16 of 23,0 of 0  5 of 5,1 of 1  14 of 14,UFC Fight Night: Lee vs. Iaquinta
2516,Chris de la Rocha Juan Adams,30 of 64  74 of 131,10 of 11  8 of 8,1 of 1  4 of 5,36 of 67  38 of 85,3 of 7  13 of 15,2 of 2  35 of 44,UFC Fight Night: Lee vs. Iaquinta
2517,Max Holloway Brian Ortega,244 of 430  87 of 267,41 of 55  16 of 18,5 of 5  7 of 7,281 of 479  101 of 282,8 of 10  9 of 10,1 of 1  0 of 0,UFC 231: Holloway vs. Ortega
2518,Valentina Shevchenko Joanna Jedrzejczyk,50 of 135  12 of 133,16 of 25  44 of 78,23 of 31  22 of 39,65 of 159  59 of 224,16 of 24  19 of 26,8 of 8  0 of 0,UFC 231: Holloway vs. Ortega
2519,Alex Oliveira Gunnar Nelson,27 of 40  10 of 10,6 of 6  1 of 1,3 of 3  0 of 0,3 of 4  1 of 1,9 of 9  1 of 1,24 of 36  9 of 9,UFC 231: Holloway vs. Ortega
2520,Hakeem Dawodu Kyle Bochniak,51 of 146  27 of 79,35 of 48  4 of 9,17 of 18  11 of 21,99 of 208  37 of 97,4 of 4  3 of 10,0 of 0  2 of 2,UFC 231: Holloway vs. Ortega
2521,Jimi Manuwa Thiago Santos,15 of 30  27 of 58,12 of 12  13 of 14,0 of 0  2 of 2,8 of 20  20 of 45,17 of 19  22 of 28,2 of 3  0 of 1,UFC 231: Holloway vs. Ortega
2522,Claudia Gadelha Nina Nunes,45 of 106  62 of 173,3 of 4  5 of 9,1 of 2  29 of 29,38 of 97  91 of 205,4 of 8  5 of 6,7 of 7  0 of 0,UFC 231: Holloway vs. Ortega
2523,Olivier Aubin-Mercier Gilbert Burns,35 of 88  57 of 121,5 of 8  16 of 17,0 of 0  3 of 5,37 of 93  37 of 95,3 of 3  6 of 6,0 of 0  33 of 42,UFC 231: Holloway vs. Ortega
2524,Katlyn Chookagian Jessica Eye,51 of 180  39 of 127,9 of 15  24 of 42,5 of 6  18 of 21,49 of 182  70 of 174,8 of 9  11 of 16,8 of 10  0 of 0,UFC 231: Holloway vs. Ortega
2525,Elias Theodorou Eryk Anders,31 of 127  54 of 116,31 of 42  10 of 16,30 of 42  1 of 1,64 of 171  48 of 105,28 of 40  17 of 28,0 of 0  0 of 0,UFC 231: Holloway vs. Ortega
2526,Brad Katona Matthew Lopez,40 of 106  41 of 99,12 of 26  17 of 31,24 of 26  11 of 12,67 of 146  65 of 134,4 of 6  3 of 6,5 of 6  1 of 2,UFC 231: Holloway vs. Ortega
2527,Chad Laprise Dhiego Lima,2 of 9  4 of 23,0 of 1  1 of 1,6 of 6  0 of 1,8 of 16  5 of 25,0 of 0  0 of 0,0 of 0  0 of 0,UFC 231: Holloway vs. Ortega
2528,Diego Ferreira Kyle Nelson,42 of 87  12 of 37,8 of 11  6 of 10,4 of 4  2 of 3,27 of 55  19 of 48,1 of 1  1 of 1,26 of 46  0 of 1,UFC 231: Holloway vs. Ortega
2529,Devin Clark Aleksandar Rakic,15 of 26  12 of 24,0 of 1  10 of 10,4 of 4  9 of 11,3 of 13  11 of 19,9 of 10  10 of 10,7 of 8  10 of 16,UFC 231: Holloway vs. Ortega
2530,Junior Dos Santos Tai Tuivasa,20 of 55  9 of 33,4 of 7  4 of 4,2 of 3  3 of 5,15 of 37  10 of 32,0 of 1  6 of 10,11 of 27  0 of 0,UFC Fight Night: Dos Santos vs. Tuivasa
2531,Mauricio Rua Tyson Pedro,23 of 45  21 of 33,2 of 3  9 of 10,5 of 8  1 of 1,12 of 26  21 of 33,1 of 2  10 of 11,17 of 28  0 of 0,UFC Fight Night: Dos Santos vs. Tuivasa
2532,Mark Hunt Justin Willis,3 of 37  45 of 84,11 of 18  3 of 6,5 of 5  11 of 13,19 of 60  59 of 103,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Dos Santos vs. Tuivasa
2533,Jake Matthews Anthony Rocco Martin,15 of 60  15 of 75,6 of 9  1 of 1,3 of 6  9 of 10,23 of 74  23 of 84,1 of 1  1 of 1,0 of 0  1 of 1,UFC Fight Night: Dos Santos vs. Tuivasa
2534,Suman Mokhtarian Sodiq Yusuff,1 of 5  18 of 38,3 of 3  4 of 4,1 of 1  1 of 1,3 of 7  19 of 36,2 of 2  4 of 7,0 of 0  0 of 0,UFC Fight Night: Dos Santos vs. Tuivasa
2535,Jimmy Crute Paul Craig,16 of 36  7 of 16,0 of 0  5 of 6,1 of 2  0 of 0,2 of 14  8 of 18,0 of 0  1 of 1,15 of 24  3 of 3,UFC Fight Night: Dos Santos vs. Tuivasa
2536,Yushin Okami Aleksei Kunchenko,7 of 52  44 of 94,2 of 3  11 of 15,1 of 1  17 of 20,10 of 56  51 of 105,0 of 0  15 of 16,0 of 0  6 of 8,UFC Fight Night: Dos Santos vs. Tuivasa
2537,Wilson Reis Ben Nguyen,18 of 91  31 of 97,4 of 12  7 of 12,10 of 12  1 of 2,30 of 111  37 of 108,2 of 4  2 of 3,0 of 0  0 of 0,UFC Fight Night: Dos Santos vs. Tuivasa
2538,Keita Nakamura Salim Touahri,32 of 82  14 of 52,2 of 6  17 of 24,7 of 9  3 of 3,36 of 89  25 of 69,5 of 8  9 of 10,0 of 0  0 of 0,UFC Fight Night: Dos Santos vs. Tuivasa
2539,Elias Garcia Kai Kara-France,13 of 67  74 of 163,1 of 2  9 of 11,2 of 4  3 of 4,15 of 72  33 of 82,1 of 1  0 of 0,0 of 0  53 of 96,UFC Fight Night: Dos Santos vs. Tuivasa
2540,Mizuto Hirota Christos Giagos,15 of 50  22 of 80,4 of 4  8 of 9,0 of 1  1 of 1,12 of 41  14 of 53,4 of 10  3 of 4,3 of 4  14 of 33,UFC Fight Night: Dos Santos vs. Tuivasa
2541,Alex Gorgees Damir Ismagulov,5 of 21  22 of 38,3 of 5  9 of 13,2 of 5  3 of 4,5 of 26  20 of 32,5 of 5  3 of 3,0 of 0  11 of 20,UFC Fight Night: Dos Santos vs. Tuivasa
2542,Rafael Dos Anjos Kamaru Usman,27 of 74  95 of 183,19 of 20  29 of 34,16 of 18  6 of 6,35 of 83  48 of 111,22 of 24  33 of 43,5 of 5  49 of 69,The Ultimate Fighter: Heavy Hitters Finale
2543,Juan Espino Justin Frazier,19 of 20  0 of 2,3 of 3  4 of 4,0 of 0  0 of 0,0 of 0  0 of 1,5 of 5  4 of 5,17 of 18  0 of 0,The Ultimate Fighter: Heavy Hitters Finale
