,Diff_Kd,Diff_Str,Diff_Td,Diff_Sub,Diff_Head,Diff_Body,Diff_Leg,Diff_Distance,Diff_Clinch,Diff_Ground,Diff_Ctrl,Fighter_1_W
2922,-1,-51,0,0,20,6,25,49,-2,4,78,1
2923,0,10,-1,0,21,-7,-4,5,6,-1,-5,0
2924,0,-3,-1,0,-12,5,4,3,14,-20,-448,0
2925,0,-12,-1,0,15,3,-6,11,0,1,6,1
2926,0,-15,1,0,8,-1,8,14,0,1,-10,1
2927,0,-9,0,0,4,8,-3,2,6,1,-55,1
2928,0,-4,-2,0,6,3,-5,-5,-6,15,414,1
2929,1,-22,-4,0,-10,-14,2,-1,-1,-20,-514,0
2930,0,-21,-6,3,4,15,2,-2,-1,24,365,1
2931,0,-55,-11,-6,32,17,6,9,0,46,1197,1
2932,0,-55,-2,0,-37,-11,-7,-7,-10,-38,-690,0
2933,0,-6,3,-2,5,-2,3,8,-2,0,-494,1
2934,-1,-26,9,1,-7,-16,-3,10,1,-37,-109,0
2935,0,-9,-2,0,-2,5,-12,-8,-1,0,-87,0
2936,0,-22,-6,0,18,-2,6,1,-1,22,694,1
2937,0,-43,-1,0,-32,-2,-9,-21,-18,-4,-327,0
2938,-1,-10,4,-1,-5,-3,18,4,-1,7,18,1
2939,0,-13,1,-1,14,2,-3,12,0,1,30,1
2940,0,-5,-4,2,5,2,-2,-8,6,7,254,1
2941,0,-28,-6,2,24,-2,6,0,3,25,724,1
2942,0,-10,-4,0,16,1,-7,5,6,-1,305,1
2943,0,-32,-3,1,21,7,4,25,-3,10,142,1
2944,0,-28,5,1,17,6,5,19,1,8,-247,1
2945,0,-7,-7,2,2,0,5,-4,0,11,467,1
2946,0,-43,-3,-1,26,19,-2,1,3,39,645,1
2947,0,10,0,0,-11,-6,7,7,-7,-10,3,1
2948,0,16,-1,2,-28,10,2,-8,-11,3,111,1
2949,0,-50,-2,0,21,22,7,26,6,18,155,1
2950,0,-45,-2,-2,35,3,7,-2,3,44,589,1
2951,0,-25,-1,0,18,5,2,15,6,4,200,1
2952,0,16,3,0,2,-7,-11,-14,0,-2,-6,1
2953,0,-21,-5,-2,33,-8,-4,-4,0,25,473,1
2954,0,0,-2,0,-3,-5,8,5,-6,1,30,1
2955,0,19,-8,0,-4,-9,-6,-14,-6,1,420,1
2956,0,-68,4,2,37,18,13,67,4,-3,-14,1
2957,0,-20,-5,0,17,0,3,3,0,17,660,1
2958,0,-1,-3,0,3,0,-2,14,-15,2,69,1
2959,1,-17,-1,-2,-5,1,21,16,5,-4,237,1
2960,0,-35,-1,3,27,1,7,5,14,16,260,1
2961,0,-33,-6,-4,30,0,3,4,20,9,468,1
2962,0,16,-4,-1,12,4,-32,-28,3,9,183,1
2963,0,-9,0,0,15,-3,-3,11,-2,0,-16,1
2964,0,-21,7,2,6,0,15,5,14,2,-78,1
2965,-2,-18,-1,1,10,7,1,9,2,7,-7,1
2966,0,-83,1,0,13,41,29,49,34,0,192,1
2967,0,-6,3,2,-6,-3,15,0,-5,11,348,1
2968,1,-12,0,0,9,-1,4,-9,23,-2,394,1
2969,0,-17,-1,1,4,7,6,-2,15,4,200,1
2970,0,-75,-5,1,58,18,-1,1,-1,75,803,1
2971,0,2,-11,-2,9,-4,-7,-3,1,0,237,1
2972,-2,-27,-3,1,23,0,4,10,3,14,264,1
2973,0,-66,-4,1,15,5,46,39,25,2,292,1
2974,0,6,-1,0,-5,-1,0,-9,0,3,101,1
2975,0,-38,0,-4,11,21,6,18,6,14,-141,1
2976,0,-2,0,0,7,1,-6,8,-6,0,-196,1
2977,0,-27,-3,-1,27,1,-1,19,0,8,359,1
2978,0,-25,-2,0,5,2,18,20,1,4,238,1
2979,0,17,-3,-1,-3,-1,-13,-12,-5,0,134,1
2980,2,1,2,2,-2,2,-1,-7,-1,7,-168,1
2981,-1,-13,0,1,6,-1,8,-1,1,13,441,1
2982,0,-9,0,0,0,-3,12,7,2,0,6,1
2983,0,-13,-6,0,6,7,0,-7,4,16,540,1
2984,0,-16,-6,1,-6,6,16,-5,4,17,658,1
2985,-2,15,0,-3,-19,4,0,0,-9,-6,128,1
2986,0,-21,0,0,-2,2,21,15,5,1,27,1
2987,0,-10,-8,-2,8,4,-2,-3,-6,19,653,1
2988,0,-15,1,-1,13,-3,5,5,10,0,58,1
2989,-1,-31,2,1,28,1,2,29,-1,3,-192,1
2990,0,-22,-2,0,15,4,3,1,11,10,467,1
2991,0,-13,-6,2,10,2,1,8,-10,15,616,1
2992,0,3,-3,1,-3,2,-2,2,-6,1,705,1
2993,0,-8,-3,0,-3,3,8,3,-3,8,325,1
2994,0,-2,4,0,3,5,-6,8,0,-6,-128,1
2995,0,-42,-2,-1,25,13,4,1,6,35,629,1
2996,0,-10,-4,4,6,1,3,2,1,7,658,1
2997,-1,-29,-10,-1,21,5,3,25,-3,7,714,1
2998,1,21,-3,0,11,-9,-23,-19,-6,4,147,1
2999,0,6,-3,3,-5,-1,0,2,-4,-4,428,1
3000,0,-17,-6,0,11,-2,8,4,2,11,600,1
3001,0,-7,-3,-1,18,-9,-2,-3,-7,17,486,1
3002,-1,-39,1,-3,43,0,-4,27,5,7,-410,1
3003,1,-32,1,0,29,18,-15,34,-1,-1,-7,1
3004,0,-28,0,0,16,12,0,17,11,0,-134,1
3005,0,-21,-7,3,1,4,16,-2,4,19,501,1
3006,0,1,5,0,-4,1,2,4,-1,-4,-503,1
3007,0,-27,1,-1,7,4,16,27,0,0,-1,1
3008,0,-14,0,0,6,9,-1,17,-4,1,-14,1
3009,0,-8,-6,-2,12,-2,-2,-6,-8,22,729,1
3010,0,-38,2,0,0,38,0,3,31,4,-247,1
3011,-1,-9,1,3,3,3,3,0,7,2,-98,1
3012,0,-28,2,0,11,-3,20,25,0,3,145,1
