,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
4036,win,Demian Maia  Neil Magny,0  0,13  0,2  0,1  0,Welterweight,SUB  Rear Naked Choke,2,2:52,UFC 190: Rousey vs Correia
4037,win,Patrick Cummins  Rafael Cavalcante,0  0,49  23,8  0,0  0,Light Heavyweight,KO/TKO  Elbows,3,0:45,UFC 190: Rousey vs Correia
4038,win,Warlley Alves  Nordine Taleb,0  0,17  17,2  0,1  0,Welterweight,SUB  Guillotine Choke,2,4:11,UFC 190: Rousey vs Correia
4039,win,Iuri Alcantara  Leandro Issa,0  0,53  26,0  1,0  0,Bantamweight,U-DEC,3,5:00,UFC 190: Rousey vs Correia
4040,win,Vitor Miranda  Clint Hester,0  0,57  15,1  1,0  0,Middleweight,KO/TKO  Elbows,2,2:38,UFC 190: Rousey vs Correia
4041,win,Guido Cannetti  Hugo Viana,0  0,32  13,4  1,0  0,Bantamweight,U-DEC,3,5:00,UFC 190: Rousey vs Correia
4042,win,TJ Dillashaw  Renan Barao,0  0,117  62,0  0,0  0,Bantamweight,KO/TKO  Punches,4,0:35,UFC on FOX: Dillashaw vs. Barao II
4043,win,Miesha Tate  Jessica Eye,1  0,58  56,1  0,2  0,Women's Bantamweight,U-DEC,3,5:00,UFC on FOX: Dillashaw vs. Barao II
4044,win,Edson Barboza  Paul Felder,0  0,64  47,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC on FOX: Dillashaw vs. Barao II
4045,win,Joe Lauzon  Takanori Gomi,0  0,15  7,1  0,0  0,Lightweight,KO/TKO  Punches,1,2:37,UFC on FOX: Dillashaw vs. Barao II
4046,win,Tom Lawlor  Gian Villante,1  0,22  31,0  1,0  0,Light Heavyweight,KO/TKO  Punch,2,0:27,UFC on FOX: Dillashaw vs. Barao II
4047,win,Jim Miller  Danny Castillo,0  0,45  35,2  0,0  0,Lightweight,S-DEC,3,5:00,UFC on FOX: Dillashaw vs. Barao II
4048,win,Ben Saunders  Kenny Robertson,0  1,98  91,0  2,0  0,Welterweight,S-DEC,3,5:00,UFC on FOX: Dillashaw vs. Barao II
4049,win,Bryan Caraway  Eddie Wineland,0  0,61  52,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC on FOX: Dillashaw vs. Barao II
4050,win,James Krause  Daron Cruickshank,0  0,10  6,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,1:27,UFC on FOX: Dillashaw vs. Barao II
4051,win,Andrew Holbrook  Ramsey Nijem,0  0,20  29,0  6,2  0,Lightweight,S-DEC,3,5:00,UFC on FOX: Dillashaw vs. Barao II
4052,win,Elizabeth Phillips  Jessamyn Duke,0  0,49  36,2  2,1  3,Women's Bantamweight,U-DEC,3,5:00,UFC on FOX: Dillashaw vs. Barao II
4053,win,Zak Cummings  Dominique Steele,1  0,14  2,0  0,0  0,Middleweight,KO/TKO  Punches,1,0:43,UFC on FOX: Dillashaw vs. Barao II
4054,win,Michael Bisping  Thales Leites,0  0,115  79,0  1,0  0,Middleweight,S-DEC,5,5:00,UFC Fight Night: Bisping vs Leites
4055,win,Evan Dunham  Ross Pearson,0  0,26  16,5  0,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Bisping vs Leites
4056,win,Joe Duffy  Ivan Jorge,0  0,8  7,0  0,1  0,Lightweight,SUB  Triangle Choke,1,3:05,UFC Fight Night: Bisping vs Leites
4057,win,Joanne Wood  Cortney Casey,1  0,90  57,3  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Bisping vs Leites
4058,win,Leon Edwards  Pawel Pawlak,1  0,36  24,0  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Bisping vs Leites
4059,win,Stevie Ray  Leonardo Mafra,1  0,19  23,0  0,0  0,Lightweight,KO/TKO  Punches,1,2:30,UFC Fight Night: Bisping vs Leites
4060,win,Paddy Holohan  Vaughan Lee,0  0,28  27,1  0,2  1,Flyweight,U-DEC,3,5:00,UFC Fight Night: Bisping vs Leites
4061,win,Ilir Latifi  Hans Stringer,1  0,7  2,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,0:56,UFC Fight Night: Bisping vs Leites
4062,win,Mickael Lebout  Teemu Packalen,0  0,43  35,0  3,0  1,Lightweight,U-DEC,3,5:00,UFC Fight Night: Bisping vs Leites
4063,win,Robert Whiteford  Paul Redmond,1  0,20  11,0  0,0  0,Featherweight,KO/TKO  Punch,1,3:04,UFC Fight Night: Bisping vs Leites
4064,win,Jimmie Rivera  Marcus Brimage,1  0,15  9,0  0,0  0,Bantamweight,KO/TKO  Punches,1,1:29,UFC Fight Night: Bisping vs Leites
4065,win,Daniel Omielanczuk  Chris de la Rocha,1  0,15  1,0  0,0  0,Heavyweight,KO/TKO  Punch,1,0:48,UFC Fight Night: Bisping vs Leites
4066,win,Frank Mir  Todd Duffee,1  0,16  9,0  0,0  0,Heavyweight,KO/TKO  Punch,1,1:13,UFC Fight Night: Mir vs Duffee
4067,win,Tony Ferguson  Josh Thomson,1  0,83  33,0  1,2  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Mir vs Duffee
4068,win,Holly Holm  Marion Reneau,0  0,65  26,1  0,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Mir vs Duffee
4069,win,Manvel Gamburyan  Scott Jorgensen,1  0,42  36,5  1,2  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Mir vs Duffee
4070,win,Kevin Lee  James Moontasri,0  0,9  6,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,2:56,UFC Fight Night: Mir vs Duffee
4071,win,Alan Jouban  Matt Dwyer,1  1,51  29,1  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Mir vs Duffee
4072,win,Sam Sicilia  Yaotzin Meza,0  0,12  18,2  1,4  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Mir vs Duffee
4073,win,Jessica Andrade  Sarah Moras,0  0,50  18,3  0,0  1,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Mir vs Duffee
4074,win,Rani Yahya  Masanori Kanehara,0  0,24  24,4  0,2  0,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Mir vs Duffee
4075,win,Sean Strickland  Igor Araujo,1  0,71  39,3  0,2  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Mir vs Duffee
4076,win,Kevin Casey  Ildemar Alcantara,0  0,41  20,1  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Mir vs Duffee
4077,win,Lyman Good  Andrew Craig,1  0,55  20,0  0,0  0,Welterweight,KO/TKO  Punch,2,3:37,UFC Fight Night: Mir vs Duffee
4078,win,Stephen Thompson  Jake Ellenberger,2  1,20  5,1  0,0  0,Welterweight,KO/TKO  Kick,1,4:29,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
4079,win,Kamaru Usman  Hayder Hassan,0  0,15  3,6  0,1  0,Welterweight,SUB  Arm Triangle,2,1:19,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
4080,win,Michael Graves  Vicente Luque,0  0,27  28,7  0,0  1,Welterweight,U-DEC,3,5:00,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
4081,win,Jorge Masvidal  Cezar Ferreira,1  0,12  7,0  1,0  0,Welterweight,KO/TKO  Elbow,1,4:22,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
4082,win,Michelle Waterson-Gomez  Angela Magana,0  0,47  8,3  1,4  1,Women's Strawweight,SUB  Rear Naked Choke,3,2:38,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
4083,win,Maximo Blanco  Mike de la Torre,1  0,4  1,0  0,0  0,Featherweight,KO/TKO  Punch,1,0:16,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
4084,win,Josh Samman  Caio Magalhaes,0  0,12  3,0  0,1  0,Middleweight,SUB  Rear Naked Choke,1,2:52,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
4085,win,Jerrod Sanders  Russell Doane,0  1,15  13,3  1,3  3,Bantamweight,U-DEC,3,5:00,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
4086,win,Trevor Smith  Dan Miller,0  0,51  25,1  0,0  1,Middleweight,U-DEC,3,5:00,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
4087,win,George Sullivan  Dominic Waters,0  0,54  13,2  5,3  0,Welterweight,U-DEC,3,5:00,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
4088,win,Willie Gates  Darrell Montague,1  0,19  4,0  0,0  0,Flyweight,KO/TKO  Punches,1,1:36,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
4089,win,Conor McGregor  Chad Mendes,1  0,46  31,0  4,0  0,Featherweight,KO/TKO  Punch,2,4:57,UFC 189: Mendes vs McGregor
4090,win,Robbie Lawler  Rory MacDonald,1  0,70  86,0  0,0  0,Welterweight,KO/TKO  Punch,5,1:00,UFC 189: Mendes vs McGregor
4091,win,Jeremy Stephens  Dennis Bermudez,2  0,38  35,0  1,0  0,Featherweight,KO/TKO  Flying Knee,3,0:32,UFC 189: Mendes vs McGregor
4092,win,Gunnar Nelson  Brandon Thatch,1  0,6  8,0  0,1  0,Welterweight,SUB  Rear Naked Choke,1,2:54,UFC 189: Mendes vs McGregor
4093,win,Thomas Almeida  Brad Pickett,1  1,24  20,0  0,0  0,Bantamweight,KO/TKO  Flying Knee,2,0:29,UFC 189: Mendes vs McGregor
4094,win,Matt Brown  Tim Means,0  0,25  16,1  0,1  0,Welterweight,SUB  Guillotine Choke,1,4:44,UFC 189: Mendes vs McGregor
4095,win,Alex Garcia  Mike Swick,0  0,24  19,5  0,0  0,Welterweight,U-DEC,3,5:00,UFC 189: Mendes vs McGregor
4096,win,John Howard  Cathal Pendred,0  0,48  45,0  0,0  1,Welterweight,S-DEC,3,5:00,UFC 189: Mendes vs McGregor
4097,win,Cody Garbrandt  Henry Briones,1  0,64  35,3  0,0  0,Bantamweight,U-DEC,3,5:00,UFC 189: Mendes vs McGregor
4098,win,Louis Smolka  Neil Seery,0  1,23  21,6  0,5  3,Flyweight,U-DEC,3,5:00,UFC 189: Mendes vs McGregor
4099,win,Cody Pfister  Yosdenis Cedeno,0  0,15  26,5  0,0  1,Lightweight,U-DEC,3,5:00,UFC 189: Mendes vs McGregor
4100,win,Yoel Romero  Lyoto Machida,0  0,42  31,1  0,0  0,Middleweight,KO/TKO  Elbows,3,1:38,UFC Fight Night: Machida vs Romero
4101,win,Lorenz Larkin  Santiago Ponzinibbio,1  0,64  33,0  0,0  0,Welterweight,KO/TKO  Punches,2,3:07,UFC Fight Night: Machida vs Romero
4102,win,Antonio Carlos Junior  Eddie Gordon,0  0,40  12,4  0,1  0,Middleweight,SUB  Rear Naked Choke,3,4:37,UFC Fight Night: Machida vs Romero
4103,win,Thiago Santos  Steve Bosse,1  0,3  0,0  0,0  0,Middleweight,KO/TKO  Kick,1,0:29,UFC Fight Night: Machida vs Romero
4104,win,Hacran Dias  Levan Makashvili,0  0,17  37,3  2,1  0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Machida vs Romero
4105,win,Alex Oliveira  Joe Merritt,0  0,11  23,5  0,2  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Machida vs Romero
4106,win,Leandro Silva  Lewis Gonzalez,0  0,28  21,3  2,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Machida vs Romero
4107,win,Tony Sims  Steve Montgomery,1  0,10  9,0  0,0  0,Welterweight,KO/TKO  Punch,1,2:43,UFC Fight Night: Machida vs Romero
4108,win,Sirwan Kakai  Danny Martinez,1  0,52  59,5  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Machida vs Romero
4109,win,Joanna Jedrzejczyk  Jessica Penne,0  0,126  25,0  0,0  0,Women's Strawweight,KO/TKO  Punches,3,4:22,UFC Fight Night: Jedrzejczyk vs Penne
4110,win,Tatsuya Kawajiri  Dennis Siver,0  0,22  22,4  0,0  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Jedrzejczyk vs Penne
4111,win,Peter Sobotta  Steve Kennedy,0  0,6  3,2  0,1  0,Welterweight,SUB  Rear Naked Choke,1,2:57,UFC Fight Night: Jedrzejczyk vs Penne
4112,win,Nick Hein  Lukasz Sajewski,0  0,54  26,1  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Jedrzejczyk vs Penne
4113,win,Makwan Amirkhani  Masio Fullen,0  0,0  1,1  0,2  0,Featherweight,SUB  Rear Naked Choke,1,1:41,UFC Fight Night: Jedrzejczyk vs Penne
4114,win,Mairbek Taisumov  Alan Patrick,1  0,23  17,0  0,0  0,Lightweight,KO/TKO  Kick,2,1:30,UFC Fight Night: Jedrzejczyk vs Penne
4115,win,Arnold Allen  Alan Omer,0  0,23  35,1  2,1  0,Featherweight,SUB  Guillotine Choke,3,1:41,UFC Fight Night: Jedrzejczyk vs Penne
4116,win,Noad Lahat  Niklas Backstrom,0  0,62  11,1  4,1  1,Featherweight,M-DEC,3,5:00,UFC Fight Night: Jedrzejczyk vs Penne
4117,win,Scott Askham  Antonio Dos Santos,2  0,11  11,0  0,0  0,Middleweight,KO/TKO  Punch,1,2:52,UFC Fight Night: Jedrzejczyk vs Penne
4118,win,Magomed Mustafaev  Piotr Hallmann,0  0,18  29,0  2,0  0,Lightweight,KO/TKO,2,3:24,UFC Fight Night: Jedrzejczyk vs Penne
4119,win,Taylor Lapilus  Yuta Sasaki,1  0,31  16,0  1,0  0,Bantamweight,KO/TKO  Punches,2,1:26,UFC Fight Night: Jedrzejczyk vs Penne
4120,win,Fabricio Werdum  Cain Velasquez,0  0,96  88,1  4,1  0,Heavyweight,SUB  Guillotine Choke,3,2:13,UFC 188: Velasquez vs Werdum
4121,win,Eddie Alvarez  Gilbert Melendez,0  0,31  37,3  0,0  0,Lightweight,S-DEC,3,5:00,UFC 188: Velasquez vs Werdum
4122,win,Kelvin Gastelum  Nate Marquardt,0  0,59  18,1  0,0  0,Middleweight,KO/TKO,2,5:00,UFC 188: Velasquez vs Werdum
4123,win,Yair Rodriguez  Charles Rosa,0  0,56  39,1  5,2  0,Featherweight,S-DEC,3,5:00,UFC 188: Velasquez vs Werdum
4124,win,Tecia Torres  Angela Hill,0  0,32  27,2  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC 188: Velasquez vs Werdum
4125,win,Henry Cejudo  Chico Camus,0  0,62  48,1  0,0  0,Flyweight,U-DEC,3,5:00,UFC 188: Velasquez vs Werdum
4126,win,Efrain Escudero  Drew Dober,0  0,1  0,0  0,1  0,Lightweight,SUB  Guillotine Choke,1,0:54,UFC 188: Velasquez vs Werdum
4127,win,Patrick Williams  Alejandro Perez,1  0,2  0,0  0,1  0,Bantamweight,SUB  Guillotine Choke,1,0:23,UFC 188: Velasquez vs Werdum
4128,win,Johnny Case  Francisco Trevino,0  0,40  34,4  0,0  0,Lightweight,U-DEC,3,5:00,UFC 188: Velasquez vs Werdum
4129,win,Cathal Pendred  Augusto Montano,0  0,17  21,4  0,0  0,Welterweight,U-DEC,3,5:00,UFC 188: Velasquez vs Werdum
4130,win,Gabriel Benitez  Clay Collard,0  0,60  34,0  6,1  0,Featherweight,U-DEC,3,5:00,UFC 188: Velasquez vs Werdum
4131,win,Dan Henderson  Tim Boetsch,1  0,12  3,0  0,0  0,Middleweight,KO/TKO  Punch,1,0:28,UFC Fight Night: Boetsch vs Henderson
4132,win,Ben Rothwell  Matt Mitrione,0  0,5  8,0  0,1  0,Heavyweight,SUB  Guillotine Choke,1,1:54,UFC Fight Night: Boetsch vs Henderson
4133,win,Dustin Poirier  Yancy Medeiros,2  0,27  6,1  0,1  0,Lightweight,KO/TKO  Punches,1,2:38,UFC Fight Night: Boetsch vs Henderson
4134,win,Brian Ortega  Thiago Tavares,1  0,41  39,0  6,1  0,Featherweight,KO/TKO  Punch,3,4:10,UFC Fight Night: Boetsch vs Henderson
4135,win,Anthony Birchak  Joe Soto,2  0,16  1,0  0,0  0,Bantamweight,KO/TKO  Punch,1,1:37,UFC Fight Night: Boetsch vs Henderson
4136,win,Francisco Rivera  Alex Caceres,1  0,5  0,0  0,0  0,Bantamweight,KO/TKO  Punch,1,0:21,UFC Fight Night: Boetsch vs Henderson
4137,win,Shawn Jordan  Derrick Lewis,1  0,23  6,3  0,0  0,Heavyweight,KO/TKO  Kick,2,0:48,UFC Fight Night: Boetsch vs Henderson
4138,win,Omari Akhmedov  Brian Ebersole,0  0,15  2,0  0,0  0,Welterweight,KO/TKO,1,5:00,UFC Fight Night: Boetsch vs Henderson
4139,win,Chris Wade  Christos Giagos,0  0,32  28,4  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Boetsch vs Henderson
4140,win,Joe Proctor  Justin Edwards,0  0,67  63,0  2,3  0,Lightweight,SUB  Guillotine Choke,3,4:58,UFC Fight Night: Boetsch vs Henderson
4141,win,Jake Collier  Ricardo Abreu,0  0,67  47,0  3,0  0,Middleweight,S-DEC,3,5:00,UFC Fight Night: Boetsch vs Henderson
4142,win,Jose Quinonez  Leonardo Morales,0  0,2  3,1  0,2  0,Bantamweight,SUB  Rear Naked Choke,1,2:34,UFC Fight Night: Boetsch vs Henderson
4143,win,Carlos Condit  Thiago Alves,1  0,75  34,2  0,0  1,Welterweight,KO/TKO,2,5:00,UFC Fight Night: Condit vs Alves
4144,win,Charles Oliveira  Nik Lentz,1  0,64  37,1  2,2  1,Featherweight,SUB  Guillotine Choke,3,1:10,UFC Fight Night: Condit vs Alves
4145,win,Alex Oliveira  KJ Noons,0  0,3  7,3  0,1  0,Welterweight,SUB  Rear Naked Choke,1,2:51,UFC Fight Night: Condit vs Alves
4146,win,Francimar Barroso  Ryan Jimmo,0  0,46  35,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Condit vs Alves
4147,win,Francisco Trinaldo  Norman Parke,0  0,66  25,0  4,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Condit vs Alves
4148,win,Darren Till  Wendell Oliveira Marques,0  0,25  22,0  0,0  0,Welterweight,KO/TKO  Elbows,2,1:37,UFC Fight Night: Condit vs Alves
4149,nc nc,Rony Jason  Damon Jackson,0  0,5  5,0  3,1  0,Featherweight,Overturned  Triangle Choke,1,3:31,UFC Fight Night: Condit vs Alves
4150,win,Jussier Formiga  Wilson Reis,1  0,21  28,4  0,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Condit vs Alves
4151,win,Nicolas Dalby  Elizeu Zaleski dos Santos,0  0,41  57,6  0,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Condit vs Alves
4152,win,Mirsad Bektic  Lucas Martins,1  0,39  7,3  0,0  0,Featherweight,KO/TKO  Punches,2,0:30,UFC Fight Night: Condit vs Alves
4153,win,Juliana Lima  Ericka Almeida,0  0,41  13,3  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Condit vs Alves
4154,win,Tom Breese  Luiz Dutra,1  0,26  21,0  0,0  0,Welterweight,KO/TKO  Punches,1,4:58,UFC Fight Night: Condit vs Alves
4155,win,Daniel Cormier  Anthony Johnson,0  1,23  23,3  1,3  0,Light Heavyweight,SUB  Rear Naked Choke,3,2:39,UFC 187: Johnson vs Cormier
4156,win,Chris Weidman  Vitor Belfort,0  0,46  18,1  0,0  0,Middleweight,KO/TKO  Punches,1,2:53,UFC 187: Johnson vs Cormier
4157,win,Donald Cerrone  John Makdessi,0  0,71  72,0  0,0  0,Lightweight,KO/TKO  Kick,2,4:44,UFC 187: Johnson vs Cormier
4158,win,Andrei Arlovski  Travis Browne,1  1,51  15,0  0,0  0,Heavyweight,KO/TKO  Punches,1,4:41,UFC 187: Johnson vs Cormier
4159,win,Joseph Benavidez  John Moraga,0  0,63  42,4  0,0  0,Flyweight,U-DEC,3,5:00,UFC 187: Johnson vs Cormier
4160,win,John Dodson  Zach Makovsky,0  0,31  37,2  0,0  0,Flyweight,U-DEC,3,5:00,UFC 187: Johnson vs Cormier
4161,win,Dong Hyun Kim  Joshua Burkman,0  0,30  20,1  0,1  0,Welterweight,SUB  Arm Triangle,3,2:13,UFC 187: Johnson vs Cormier
4162,win,Rafael Natal  Uriah Hall,0  0,45  43,1  1,0  0,Middleweight,S-DEC,3,5:00,UFC 187: Johnson vs Cormier
4163,win,Colby Covington  Mike Pyle,0  0,26  16,2  0,0  2,Welterweight,U-DEC,3,5:00,UFC 187: Johnson vs Cormier
4164,win,Islam Makhachev  Leo Kuntz,0  0,32  7,3  0,1  0,Lightweight,SUB  Rear Naked Choke,2,2:38,UFC 187: Johnson vs Cormier
4165,win,Justin Scoggins  Josh Sampo,0  0,64  35,1  1,0  0,Flyweight,U-DEC,3,5:00,UFC 187: Johnson vs Cormier
4166,win,Frankie Edgar  Urijah Faber,0  0,83  48,5  0,0  0,Featherweight,U-DEC,5,5:00,UFC Fight Night: Edgar vs Faber
4167,win,Gegard Mousasi  Constantinos Philippou,0  0,56  9,4  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Edgar vs Faber
4168,win,Mark Munoz  Luke Barnatt,0  0,35  42,9  1,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Edgar vs Faber
4169,win,Neil Magny  Hyun Gyu Lim,0  0,43  15,2  0,0  0,Welterweight,KO/TKO  Punches,2,1:24,UFC Fight Night: Edgar vs Faber
4170,win,Phillipe Nover  Yui Chul Nam,0  0,12  29,6  2,0  1,Featherweight,S-DEC,3,5:00,UFC Fight Night: Edgar vs Faber
4171,win,Levan Makashvili  Mark Eddiva,0  0,27  32,7  0,0  0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Edgar vs Faber
4172,win,Jon Tuck  Tae Hyun Bang,1  0,13  12,0  1,1  0,Lightweight,SUB  Rear Naked Choke,1,3:56,UFC Fight Night: Edgar vs Faber
4173,win,Kajan Johnson  Zhang Lipeng,0  0,20  20,3  1,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Edgar vs Faber
4174,win,Li Jingliang  Dhiego Lima,1  0,13  6,0  0,0  0,Welterweight,KO/TKO  Punches,1,1:25,UFC Fight Night: Edgar vs Faber
4175,win,Guangyou Ning  Royston Wee,0  0,46  18,2  0,0  0,Bantamweight,KO/TKO  Punch,2,4:59,UFC Fight Night: Edgar vs Faber
4176,win,Jon Delos Reyes  Roldan Sangcha'an,1  0,23  27,1  2,3  0,Flyweight,SUB  Rear Naked Choke,2,3:13,UFC Fight Night: Edgar vs Faber
4177,win,Yao Zhikui  Nolan Ticman,0  0,9  52,1  0,0  0,Flyweight,S-DEC,3,5:00,UFC Fight Night: Edgar vs Faber
4178,win,Stipe Miocic  Mark Hunt,0  0,113  33,6  0,0  0,Heavyweight,KO/TKO  Punches,5,2:47,UFC Fight Night: Miocic vs Hunt
4179,win,Robert Whittaker  Brad Tavares,1  0,10  2,0  0,0  0,Middleweight,KO/TKO  Punch,1,0:44,UFC Fight Night: Miocic vs Hunt
4180,win,Sean O'Connell  Anthony Perosh,0  0,20  3,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,0:56,UFC Fight Night: Miocic vs Hunt
4181,win,James Vick  Jake Matthews,0  0,10  4,0  1,1  0,Lightweight,SUB  Guillotine Choke,1,4:53,UFC Fight Night: Miocic vs Hunt
4182,win,Dan Hooker  Hatsu Hioki,1  0,21  32,0  2,0  0,Featherweight,KO/TKO  Kick,2,4:13,UFC Fight Night: Miocic vs Hunt
4183,win,Kyle Noke  Jonavin Webb,0  1,31  23,0  2,0  2,Welterweight,S-DEC,3,5:00,UFC Fight Night: Miocic vs Hunt
4184,win,Sam Alvey  Daniel Kelly,1  0,8  2,0  0,0  0,Middleweight,KO/TKO  Punch,1,0:49,UFC Fight Night: Miocic vs Hunt
4185,win,Bec Rawlings  Lisa Ellis,0  0,21  7,0  1,1  0,Women's Strawweight,SUB  Rear Naked Choke,1,4:09,UFC Fight Night: Miocic vs Hunt
4186,win,Brad Scott  Dylan Andrews,0  2,42  25,1  1,1  1,Middleweight,SUB  Guillotine Choke,2,4:54,UFC Fight Night: Miocic vs Hunt
4187,win,Alex Chambers  Kailin Curran,0  0,44  81,2  2,2  0,Women's Strawweight,SUB  Armbar,3,3:15,UFC Fight Night: Miocic vs Hunt
4188,win,Brendan O'Reilly  Vik Grujic,0  0,42  59,6  1,1  1,Welterweight,U-DEC,3,5:00,UFC Fight Night: Miocic vs Hunt
4189,win,Ben Nguyen  Alptekin Ozkilic,2  0,27  15,0  1,0  0,Flyweight,KO/TKO  Punch,1,4:59,UFC Fight Night: Miocic vs Hunt
4190,win,Demetrious Johnson  Kyoji Horiguchi,0  0,66  31,14  1,1  0,Flyweight,SUB  Armbar,5,4:59,UFC 186: Johnson vs Horiguchi
4191,win,Quinton Jackson  Fabio Maldonado,0  0,99  67,0  1,0  0,Catch Weight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi
4192,win,Michael Bisping  CB Dollaway,0  1,75  47,0  2,0  0,Middleweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi
4193,win,John Makdessi  Shane Campbell,2  0,47  25,0  0,0  0,Catch Weight,KO/TKO  Punch,1,4:53,UFC 186: Johnson vs Horiguchi
4194,win,Thomas Almeida  Yves Jabouin,0  0,31  20,0  1,0  0,Bantamweight,KO/TKO  Punches,1,4:18,UFC 186: Johnson vs Horiguchi
4195,win,Patrick Cote  Joe Riggs,0  0,21  21,3  2,1  0,Welterweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi
4196,win,Alexis Davis  Sarah Kaufman,0  0,34  65,1  0,1  0,Women's Bantamweight,SUB  Armbar,2,3:07,UFC 186: Johnson vs Horiguchi
4197,win,Chad Laprise  Bryan Barberena,0  0,84  94,0  1,0  0,Lightweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi
4198,win,Olivier Aubin-Mercier  David Michaud,1  0,49  17,3  0,1  0,Lightweight,SUB  Rear Naked Choke,3,1:35,UFC 186: Johnson vs Horiguchi
4199,win,Nordine Taleb  Chris Clements,0  0,36  17,6  0,0  1,Welterweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi
4200,win,Valerie Letourneau  Jessica Rakoczy,0  0,38  46,2  1,2  1,Women's Strawweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi
4201,win,Randa Markos  Aisling Daly,0  0,18  27,2  2,1  1,Women's Strawweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi
4202,win,Luke Rockhold  Lyoto Machida,0  0,23  13,1  0,2  0,Middleweight,SUB  Rear Naked Choke,2,2:31,UFC on FOX: Machida vs Rockhold
4203,win,Jacare Souza  Chris Camozzi,0  0,6  7,1  0,1  0,Middleweight,SUB  Armbar,1,2:33,UFC on FOX: Machida vs Rockhold
4204,win,Max Holloway  Cub Swanson,0  0,82  56,0  0,3  0,Featherweight,SUB  Guillotine Choke,3,3:58,UFC on FOX: Machida vs Rockhold
4205,win,Paige VanZant  Felice Herrig,0  0,67  28,2  0,0  1,Women's Strawweight,U-DEC,3,5:00,UFC on FOX: Machida vs Rockhold
4206,win,Beneil Dariush  Jim Miller,0  0,27  11,2  0,1  3,Lightweight,U-DEC,3,5:00,UFC on FOX: Machida vs Rockhold
4207,win,Ovince Saint Preux  Patrick Cummins,1  0,18  14,0  1,0  0,Light Heavyweight,KO/TKO  Punch,1,4:54,UFC on FOX: Machida vs Rockhold
4208,win,Gian Villante  Corey Anderson,0  0,70  111,0  0,0  0,Light Heavyweight,KO/TKO  Punch,3,4:18,UFC on FOX: Machida vs Rockhold
4209,win,Aljamain Sterling  Takeya Mizugaki,0  0,32  13,3  0,1  0,Bantamweight,SUB  Arm Triangle,3,2:11,UFC on FOX: Machida vs Rockhold
